Longitude,Latitude,Name,order_start_time,order_end_time,service
-73.98222,40.7723,order59,2022-03-17T8:00:00,2022-03-17T20:00:00,maintenance
-73.98,40.74045,order60,2022-03-17T10:00:00,2022-03-17T19:30:00,maintenance
-73.96408,40.80237,order61,2022-03-17T8:00:00,2022-03-17T19:30:00,maintenance
-73.98303,40.74364,order62,2022-03-17T9:00:00,2022-03-17T20:00:00,maintenance
-73.93664,40.85267,order63,2022-03-17T10:30:00,2022-03-17T20:30:00,maintenance
-73.94912,40.79525,order64,2022-03-17T9:00:00,2022-03-17T19:30:00,install
-73.97812,40.78336,order65,2022-03-17T9:30:00,2022-03-17T21:30:00,maintenance
-73.98406,40.72573,order66,2022-03-17T8:00:00,2022-03-17T21:00:00,install
-73.94456,40.81172,order67,2022-03-17T10:00:00,2022-03-17T19:30:00,install
-73.98836,40.73029,order68,2022-03-17T10:00:00,2022-03-17T21:30:00,install
-73.97018,40.78974,order69,2022-03-17T8:00:00,2022-03-17T20:30:00,install
-73.98494,40.71971,order70,2022-03-17T9:00:00,2022-03-17T19:30:00,install
-73.98763,40.72808,order71,2022-03-17T8:30:00,2022-03-17T20:00:00,maintenance
-73.9493,40.82827,order72,2022-03-17T9:00:00,2022-03-17T19:00:00,install
-73.99637,40.73897,order73,2022-03-17T10:30:00,2022-03-17T21:00:00,install
-73.99208,40.7456,order74,2022-03-17T9:00:00,2022-03-17T19:00:00,maintenance
-73.93593,40.84695,order75,2022-03-17T9:30:00,2022-03-17T21:00:00,maintenance
-73.98818,40.78046,order76,2022-03-17T10:30:00,2022-03-17T19:00:00,maintenance
-73.9437,40.8305,order77,2022-03-17T10:30:00,2022-03-17T20:00:00,install
-73.99243,40.76144,order78,2022-03-17T8:30:00,2022-03-17T21:00:00,install
-73.97066,40.76064,order79,2022-03-17T9:00:00,2022-03-17T20:00:00,maintenance
-73.94412,40.8236,order80,2022-03-17T10:00:00,2022-03-17T20:00:00,install
-73.98651,40.75544,order81,2022-03-17T8:00:00,2022-03-17T20:30:00,maintenance
-73.98743,40.76738,order82,2022-03-17T10:00:00,2022-03-17T20:30:00,install
-73.96675,40.7951,order83,2022-03-17T9:30:00,2022-03-17T21:00:00,maintenance
-73.94142,40.81581,order84,2022-03-17T9:00:00,2022-03-17T19:00:00,maintenance
-73.93886,40.81927,order85,2022-03-17T8:00:00,2022-03-17T21:30:00,maintenance
-73.98815,40.776,order86,2022-03-17T8:00:00,2022-03-17T19:00:00,maintenance
-74.01042,40.71521,order87,2022-03-17T10:00:00,2022-03-17T19:30:00,maintenance
-73.96015,40.81062,order88,2022-03-17T9:30:00,2022-03-17T19:30:00,maintenance
-73.94063,40.84417,order89,2022-03-17T9:00:00,2022-03-17T20:30:00,install
-73.99525,40.75757,order90,2022-03-17T9:00:00,2022-03-17T20:00:00,maintenance
-73.98936,40.7136,order91,2022-03-17T8:30:00,2022-03-17T21:00:00,install
-73.9418,40.80745,order92,2022-03-17T8:30:00,2022-03-17T19:30:00,install
-73.98256,40.72202,order93,2022-03-17T10:30:00,2022-03-17T21:00:00,maintenance
-74.00726,40.72078,order94,2022-03-17T8:30:00,2022-03-17T21:30:00,maintenance
-73.94265,40.83892,order95,2022-03-17T10:00:00,2022-03-17T19:30:00,maintenance
-73.98496,40.72759,order96,2022-03-17T8:30:00,2022-03-17T19:00:00,maintenance
-73.98158,40.73037,order97,2022-03-17T9:30:00,2022-03-17T20:00:00,maintenance
